,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[7.75294242e+00 1.30000000e-03 1.05649495e-01 3.00000000e+01
 1.00000000e+00 1.00000000e+00]",[0.79097534 0.70359529 0.5343301 ],277.6459929292929,0.008034706115722656
1,"[1.95614596e+01 1.30000000e-03 1.05649495e-01 1.60000000e+01
 2.00000000e+00 0.00000000e+00]",[0.72226581 0.88398034 0.58075761],303.4545101010101,0.008000850677490234
2,"[2.36490232e+01 1.30000000e-03 1.05649495e-01 2.30000000e+01
 1.00000000e+00 1.00000000e+00]",[0.74836712 0.8818285  0.50112029],300.54207373737376,0.009000539779663086
3,"[ 6.84459495e+00  1.02294949e-01  4.70000000e-03 -5.00000000e+00
  0.00000000e+00  0.00000000e+00]",[0.81473743 0.93664181 0.72062837],311.7376,0.009999990463256836
4,"[7.75294242e+00 1.30000000e-03 1.05649495e-01 2.60000000e+01
 0.00000000e+00 1.00000000e+00]",[0.81818006 0.65688378 0.77403551],281.6459929292929,0.008991718292236328
5,[6.84459495 0.10229495 0.40849798 0.         0.         0.        ],[0.7970737  0.91865528 0.69679574],306.33380202020203,0.010006427764892578
6,[24.55737071  0.10229495  0.10564949 18.          1.          0.        ],[0.74557259 0.88946872 0.52545639],306.34942626262625,0.00800013542175293
7,[11.84050606  0.10229495  0.40849798  1.          0.          0.        ],[0.78590342 0.92653632 0.66218913],310.32971313131316,0.008011341094970703
8,"[ 5.48207374e+00  6.07269697e-01  4.70000000e-03 -4.00000000e+00
  1.00000000e+00  0.00000000e+00]",[0.7902049  0.8614237  0.69949187],308.87010404040404,0.008001565933227539
9,"[2.36490232e+01 1.30000000e-03 1.05649495e-01 1.90000000e+01
 1.00000000e+00 1.00000000e+00]",[0.74647662 0.88706628 0.54779049],304.54207373737376,0.009000301361083984
10,[26.82823939  0.10229495  0.10564949 23.          2.          2.        ],[0.70143943 0.8697237  0.56997204],303.62029494949496,0.009000539779663086
11,[18.19893838  0.10229495  0.10564949 13.          1.          0.        ],[0.75986985 0.88599103 0.59213435],304.99099393939395,0.008569717407226562
12,"[ 5.93624747e+00  1.02294949e-01  4.70000000e-03 -1.40000000e+01
  0.00000000e+00  1.00000000e+00]",[0.81186352 0.92652109 0.75952294],319.8292525252525,0.007999897003173828
13,"[ 5.93624747e+00  1.02294949e-01  4.70000000e-03 -1.00000000e+01
  1.00000000e+00  1.00000000e+00]",[0.78396324 0.92531067 0.69170674],315.8292525252525,0.009019851684570312
14,"[ 6.84459495e+00  1.02294949e-01  4.70000000e-03 -2.00000000e+00
  1.00000000e+00  1.00000000e+00]",[0.78519106 0.93439651 0.70488437],308.7376,0.009000539779663086
15,[ 6.84459495  0.10229495  0.10564949 14.          0.          2.        ],[0.81441616 0.85449021 0.64844599],292.6366505050505,0.009012222290039062
16,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -1.20000000e+01
  1.00000000e+00  1.00000000e+00]",[0.784196   0.90154789 0.70628051],317.3750787878788,0.008000373840332031
17,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -8.00000000e+00
  0.00000000e+00  1.00000000e+00]",[0.81511087 0.90269729 0.72312817],313.3750787878788,0.01192927360534668
18,"[1.22946798e+01 1.30000000e-03 1.05649495e-01 1.30000000e+01
 1.00000000e+00 0.00000000e+00]",[0.774447   0.89823512 0.58168296],299.1877303030303,0.009998083114624023
19,"[2.36490232e+01 1.30000000e-03 1.05649495e-01 2.40000000e+01
 2.00000000e+00 2.00000000e+00]",[0.71094985 0.89771785 0.54614583],299.54207373737376,0.008995532989501953
20,[6.84459495 0.10229495 0.40849798 2.         2.         0.        ],[0.7323505  0.9006484  0.69512005],304.33380202020203,0.008996725082397461
21,[23.64902323  0.10229495  0.10564949 22.          2.          0.        ],[0.7139507  0.88533071 0.50298916],301.4410787878788,0.009063959121704102
22,"[ 9.11546364e+00  1.30000000e-03  4.70000000e-03 -8.00000000e+00
  2.00000000e+00  0.00000000e+00]",[0.74531966 0.86019588 0.67780457],317.10946363636367,0.009001970291137695
23,[ 6.84459495  0.10229495  0.10564949 21.          0.          0.        ],[0.81977262 0.85048377 0.79991844],285.6366505050505,0.008977651596069336
24,[12.2946798   0.10229495  0.40849798 10.          2.          0.        ],[0.72112046 0.9302015  0.65761406],301.78388686868686,0.008000850677490234
25,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -3.00000000e+01
  2.00000000e+00  0.00000000e+00]",[0.74480953 0.86449313 0.93657042],335.3750787878788,0.007999897003173828
26,"[1.09321586e+01 1.30000000e-03 4.08497980e-01 3.00000000e+00
 0.00000000e+00 1.00000000e+00]",[0.78712494 0.72875042 0.61184729],307.5223606060606,0.008080720901489258
27,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -6.00000000e+00
  1.00000000e+00  2.00000000e+00]",[0.78518642 0.90154789 0.72457097],311.3750787878788,0.00799250602722168
28,"[3.54575404e+01 1.30000000e-03 4.08497980e-01 9.00000000e+00
 2.00000000e+00 2.00000000e+00]",[0.64620281 0.92115244 0.48887671],326.0477424242424,0.00850987434387207
29,"[ 5.48207374e+00  6.96995152e+00  4.70000000e-03 -1.80000000e+01
  2.00000000e+00  2.00000000e+00]",[0.76382396 0.88627522 0.79845361],316.5074222222222,0.0070002079010009766
30,"[ 5.48207374e+00  6.46497677e+00  4.70000000e-03 -2.50000000e+01
  2.00000000e+00  1.00000000e+00]",[0.76109806 0.89167964 0.8440969 ],324.01239696969697,0.007992982864379883
31,"[1.81989384e+01 1.30000000e-03 4.08497980e-01 1.10000000e+01
 2.00000000e+00 2.00000000e+00]",[0.7005482  0.89301551 0.6287896 ],306.7891404040404,0.011063814163208008
32,"[1.22946798e+01 1.30000000e-03 4.08497980e-01 1.00000000e+01
 1.00000000e+00 0.00000000e+00]",[0.75619941 0.90581918 0.62417485],301.88488181818184,0.009004831314086914
33,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -2.90000000e+01
  1.00000000e+00  1.00000000e+00]",[0.77690632 0.90701593 0.92551189],334.3750787878788,0.012040853500366211
34,"[ 5.48207374e+00  6.46497677e+00  4.70000000e-03 -1.20000000e+01
  0.00000000e+00  0.00000000e+00]",[0.82734761 0.90180134 0.69648541],311.01239696969697,0.009013652801513672
35,"[ 5.48207374e+00  1.30000000e-03  4.70000000e-03 -1.20000000e+01
  0.00000000e+00  2.00000000e+00]",[0.81199987 0.80281431 0.80915507],317.4760737373737,0.009954452514648438
36,"[1.18405061e+01 1.30000000e-03 4.70000000e-03 5.00000000e+00
 2.00000000e+00 1.00000000e+00]",[0.7424802  0.83019593 0.68207324],306.83450606060603,0.012002706527709961
37,"[ 5.48207374e+00  3.83910808e+00  4.70000000e-03 -2.60000000e+01
  2.00000000e+00  1.00000000e+00]",[0.75425629 0.9103816  0.87129487],327.63826565656564,0.010066032409667969
38,"[5.48207374e+00 1.02294949e-01 4.70000000e-03 1.00000000e+00
 1.00000000e+00 0.00000000e+00]",[0.79117021 0.80789066 0.69643757],304.3750787878788,0.010999441146850586
39,[ 5.48207374  0.10229495  1.01419495 19.          0.          0.        ],[0.77670375 0.76247422 0.79051997],285.3655838383838,0.008000373840332031
40,[ 9.75294242  0.10229495  0.10564949 30.          0.          0.        ],[0.81704776 0.81206948 0.84692937],279.544997979798,0.010969400405883789
41,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -1.10000000e+01
  1.00000000e+00  0.00000000e+00]",[0.78616315 0.91294552 0.69675542],316.3750787878788,0.007999897003173828
42,[15.47389596  0.10229495  1.01419495 14.          0.          2.        ],[0.7456076  0.90128877 0.65321346],300.3574060606061,0.00798487663269043
43,"[ 5.93624747e+00  1.02294949e-01  4.70000000e-03 -3.00000000e+00
  2.00000000e+00  1.00000000e+00]",[0.75457684 0.92531067 0.70429842],308.8292525252525,0.008031845092773438
44,"[ 8.48207374e+00  7.34408283e+00  4.70000000e-03 -2.90000000e+01
  0.00000000e+00  0.00000000e+00]",[0.81665801 0.83771865 0.80276642],330.13329090909093,0.02599930763244629
45,"[1.22946798e+01 1.30000000e-03 4.08497980e-01 1.10000000e+01
 1.00000000e+00 0.00000000e+00]",[0.75666067 0.90581918 0.60575845],300.88488181818184,0.011008739471435547
46,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -1.90000000e+01
  2.00000000e+00  2.00000000e+00]",[0.74655818 0.90497537 0.80296388],324.3750787878788,0.01800084114074707
47,[43.17849394  0.10229495  0.10564949 28.          2.          1.        ],[0.65612867 0.74847711 0.44377703],314.9705494949495,0.012020349502563477
48,[5.93624747 0.10229495 0.40849798 4.         1.         0.        ],[0.76987705 0.85408826 0.69701187],301.42545454545456,0.009000301361083984
49,"[2.45573707e+01 1.30000000e-03 1.05649495e-01 2.80000000e+01
 2.00000000e+00 1.00000000e+00]",[0.71226521 0.78527451 0.47245092],296.4504212121212,0.008996963500976562
50,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -2.80000000e+01
  1.00000000e+00  1.00000000e+00]",[0.77733995 0.90701593 0.91699256],333.3750787878788,0.008069276809692383
51,"[1.95614596e+01 1.30000000e-03 1.05649495e-01 1.90000000e+01
 2.00000000e+00 2.00000000e+00]",[0.72009265 0.88441614 0.60389756],300.4545101010101,0.008000373840332031
52,"[ 1.14820737e+01  8.46497677e+00  4.70000000e-03 -2.30000000e+01
  0.00000000e+00  2.00000000e+00]",[0.81202988 0.80708016 0.81479204],326.01239696969697,0.013999223709106445
53,"[ 6.84459495e+00  1.02294949e-01  4.70000000e-03 -3.00000000e+00
  1.00000000e+00  0.00000000e+00]",[0.78631149 0.93586489 0.71431998],309.7376,0.011001110076904297
54,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -1.50000000e+01
  1.00000000e+00  0.00000000e+00]",[0.78447483 0.91601317 0.75655637],320.3750787878788,0.030001401901245117
55,"[1.22946798e+01 1.30000000e-03 1.05649495e-01 1.30000000e+01
 0.00000000e+00 2.00000000e+00]",[0.80195229 0.89720771 0.65571879],299.1877303030303,0.011018991470336914
56,"[5.48207374e+00 1.30000000e-03 4.08497980e-01 1.00000000e+01
 0.00000000e+00 0.00000000e+00]",[0.80391551 0.6264075  0.7026748 ],295.07227575757577,0.007996082305908203
57,[12.2946798   0.10229495  0.10564949 11.          2.          1.        ],[0.73836728 0.91476149 0.66132556],301.08673535353535,0.008997440338134766
58,"[ 1.04779848e+01  1.02294949e-01  4.70000000e-03 -1.00000000e+01
  2.00000000e+00  0.00000000e+00]",[0.74096461 0.88769271 0.67557379],320.37098989898993,0.008517026901245117
59,"[ 6.48207374e+00  8.07094646e+00  4.70000000e-03 -1.60000000e+01
  0.00000000e+00  1.00000000e+00]",[0.82563187 0.81769359 0.80293145],314.4064272727273,0.011982202529907227
60,[23.64902323  0.10229495  0.10564949 20.          2.          2.        ],[0.70916343 0.88285018 0.60496174],303.4410787878788,0.00900125503540039
61,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -5.00000000e+00
  1.00000000e+00  2.00000000e+00]",[0.78560839 0.90154789 0.72057091],310.3750787878788,0.009000062942504883
62,[23.64902323  0.10229495  0.10564949 18.          2.          0.        ],[0.71190118 0.89043255 0.5598345 ],305.4410787878788,0.008999824523925781
63,"[5.48207374e+00 1.02294949e-01 4.70000000e-03 0.00000000e+00
 1.00000000e+00 2.00000000e+00]",[0.78770919 0.87903023 0.72062404],305.3750787878788,0.007999658584594727
64,[20.46980707  0.10229495  0.10564949 21.          2.          1.        ],[0.72064446 0.87907221 0.54587215],299.26186262626265,0.011999845504760742
65,"[1.18405061e+01 1.30000000e-03 4.08497980e-01 3.00000000e+00
 0.00000000e+00 1.00000000e+00]",[0.7849784  0.91277598 0.60741077],308.4307080808081,0.009000301361083984
66,"[ 9.48207374e+00  1.30000000e-03  4.70000000e-03 -2.00000000e+01
  0.00000000e+00  2.00000000e+00]",[0.80008445 0.86237    0.80571687],329.4760737373737,0.015999794006347656
67,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -1.50000000e+01
  1.00000000e+00  2.00000000e+00]",[0.78136157 0.90497537 0.7640362 ],320.3750787878788,0.007510662078857422
68,"[6.84459495e+00 1.02294949e-01 4.70000000e-03 0.00000000e+00
 1.00000000e+00 2.00000000e+00]",[0.78448994 0.91871449 0.71002532],306.7376,0.012997627258300781
69,[35.00336667  0.10229495  0.10564949 29.          2.          0.        ],[0.6840888  0.81920434 0.40118287],305.7954222222222,0.008056402206420898
70,"[3.59117141e+01 1.30000000e-03 4.70000000e-03 1.40000000e+01
 2.00000000e+00 2.00000000e+00]",[0.67568914 0.86471587 0.50081494],321.90571414141414,0.009000301361083984
71,"[5.48207374e+00 1.02294949e-01 4.70000000e-03 3.00000000e+01
 1.00000000e+00 1.00000000e+00]",[0.80145889 0.66905331 0.57558628],275.3750787878788,0.008000612258911133
72,"[5.48207374e+00 1.30000000e-03 4.70000000e-03 0.00000000e+00
 2.00000000e+00 1.00000000e+00]",[0.75689457 0.76127742 0.71568643],305.4760737373737,0.009003877639770508
73,[ 6.84459495  0.10229495  0.10564949 21.          2.          0.        ],[0.75919612 0.84882089 0.37555876],285.6366505050505,0.00800013542175293
74,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -2.90000000e+01
  1.00000000e+00  2.00000000e+00]",[0.77531482 0.90701593 0.9201929 ],334.3750787878788,0.008001089096069336
75,"[7.75294242e+00 1.30000000e-03 4.70000000e-03 2.40000000e+01
 0.00000000e+00 0.00000000e+00]",[0.82340567 0.70236386 0.81761165],283.74694242424243,0.008000612258911133
76,"[ 9.93624747e+00  2.00130000e+00  4.70000000e-03 -2.60000000e+01
  0.00000000e+00  1.00000000e+00]",[0.80235124 0.84719671 0.80410915],333.9302474747475,0.019018888473510742
