car_speed,p_x,p_y,orientation,weather,road_shape,req_0,req_1,req_2
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,0.0,True,True,True
